"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"TMEM52",5,0.618437213677172,"no",-0.164266423418995,0.195542351770571,3,0.8430807082761,"no",""
"ASCC3",3,0.618501544995799,"no",0.178791196028381,0.0781979018705489,1,NA,NA,""
"FANCD2",4,0.619653015452697,"no",-0.100671928570164,0.0920477764676935,3,0.990626058001176,"no","CM_LoF,COREAD_LoF"
"LRRC8C",4,0.619806889714909,"no",0.1115601605785,0.140462319500161,2,0.0456298834280616,"no",""
"TREML4",5,0.619824880446598,"no",-0.0911654051521989,0.138096486400673,3,0.0149985724814176,"no",""
"YIF1B",5,0.619871111397062,"no",-0.226457574240245,0.178731862084964,3,0.149244573622604,"no",""
"CYP4F11",5,0.620240901569426,"no",0.0436313978737575,0.168251005302878,3,0.992325620638686,"no",""
"MFHAS1",4,0.620575984313821,"no",0.00256026695701179,0.160548245248545,3,0.00292625709577965,"no",""
"GNG5",5,0.620795394895155,"no",0.120832504848829,0.181149349490461,3,0.97454350989756,"no",""
"NPDC1",5,0.621257296080423,"no",-0.0708182788801554,0.192277231147443,3,0.645838655292582,"no",""
"SULT1C2",5,0.621626701021328,"no",-0.30598166860853,0.01003573269009,3,0.850514441533464,"no",""
"ZNF180",5,0.622134463849533,"no",-0.000890591221852151,0.0706172804093531,3,0.0142478761836764,"no",""
"RBM11",4,0.62231754703872,"no",-0.389456480487844,0.193216050407601,2,0.025587236344996,"no",""
"ZNF165",5,0.622688162965817,"no",0.0707171864256314,0.0478057289226294,3,0.457672394115523,"no","MBL_LoF"
"PRELP",4,0.622726977527617,"no",-0.0726577596818361,0.287012705446776,2,0.595219834327255,"no",""
"KCNE4",5,0.623103283341453,"no",-0.0794499460831214,0.0471702270061734,3,0.375708466640276,"no",""
"SPAG4",5,0.62314939966002,"no",-0.133520410890493,0.155338395403909,3,0.959993579034423,"no",""
"MOK",4,0.623187426937964,"no",-0.212033098697979,0.134047473266308,3,0.991953396546518,"no",""
"TCF7L2",5,0.624209622356361,"no",-0.2075173824671,0.22421742631279,3,0.111532342219036,"no","COREAD_Act,UCEC_Act"
"QRFPR",5,0.624393920059092,"no",-0.0393712496779262,0.0569266992518274,3,0.357482773671697,"no",""
"CD55",3,0.624736793850551,"no",-0.058977553099312,0.170820682947673,1,NA,NA,""
"DUSP2",5,0.624808493222137,"no",0.0539945335781736,0.209516742592587,3,0.00194242785424048,"no",""
"LIN7A",5,0.624808493222137,"no",-0.299875848733211,0.21279770484652,3,0.0739411101146227,"no",""
"SEMA6D",4,0.624874284348182,"no",-0.133419162578896,0.386603029912722,2,0.0164313384704108,"no",""
"ECI1",5,0.625084800804258,"no",-0.216187391172265,0.082970480682298,3,0.112394053001558,"no",""
"NWD1",4,0.625231806509444,"no",-0.202628452874994,0.0992647203139698,3,0.771641958044463,"no",""
"VPREB1",2,0.625254231359622,"no",0.266611912555841,0.258941103971542,0,NA,NA,""
"GRM4",5,0.625361048617979,"no",-0.0696523350030128,0.0638017623738698,3,0.562158704494733,"no",""
"CCKAR",5,0.6254531179189,"no",-0.0288331422869094,0.149853352541945,3,0.0489444263282559,"no",""
"CA3",4,0.626354768025466,"no",-0.273263396741075,0.250319151014803,2,0.0249654864618676,"no",""
"DRAM2",5,0.627844568589984,"no",0.0392897373890473,0.336541506335466,3,0.850514441533464,"no",""
"XKR4",5,0.627890513366109,"no",-0.129386855864281,0.239396609397113,3,0.13234356141238,"no",""
"LILRB3",3,0.627990196319553,"no",NA,NA,1,NA,NA,""
"DOPEY1",3,0.628048229306936,"no",-0.128224259289504,0.0735555485262706,2,0.0109662629724055,"no",""
