"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"FAM46C",11,0.396303001564468,"no",-0.00421262762986318,0.30462396409828,0,NA,NA,"MM_LoF",NA,NA,143
"ZNF148",10,0.397000967679615,"no",-0.0801716889668252,0.284848381413822,6,0.763101896486908,"no","ESCA_Act","","",143
"SOCS3",9,0.397097690592271,"no",-0.0617848557265216,0.0953913471192047,6,0.0346988048599635,"no","","","",143
"GPAA1",8,0.397309538925118,"no",-0.185514327590836,0.181772061793532,4,0.528319726656923,"no","","","",143
"HNRNPAB",11,0.397328164964687,"no",-0.121798266332618,0.351128651017743,7,0.602755270834405,"no","","","",143
"SCARA3",11,0.397424309536496,"no",0.0212769034504608,0.170903033393992,7,0.668124872084045,"no","","","NPM1 (enriched, 26% vs 5%)",143
"SPOPL",11,0.397648670440715,"no",0.000656360467461051,0.127689306411478,7,0.08173270884862,"no","","","",143
"TIPARP",11,0.397808948402063,"no",-0.1086784948251,0.293033274667538,7,0.0507415740652205,"no","","","",143
"HMGN2",11,0.398001304105642,"no",0.142980826234412,0.348487243636542,7,1.74182028487279e-06,"yes","","","",143
"TRMT5",11,0.398001304105642,"no",-0.0328853656918425,0.232139801388185,7,5.06958309898144e-06,"yes","","","",143
"SEC31A",11,0.398097491006071,"no",-0.136990220790125,0.214467590861856,7,0.26038508425932,"no","","","",143
"NTSR1",11,0.398321950528845,"no",-0.204074006191523,0.40462007657627,7,0.991788803956772,"no","","","",143
"POLI",11,0.39841815749196,"no",-0.0654175544643441,0.262391771970507,7,0.999999764988299,"no","","","NPM1 (enriched, 26% vs 5%)",143
"UBL7",11,0.398963443588228,"no",-0.00566074212105982,0.207400483535845,7,0.941594684756703,"no","","","",143
"CYP7A1",11,0.398963443588228,"no",0.0369421738066135,0.155043236075108,7,0.973754193453374,"no","","","",143
"CBLN3",11,0.399252202214909,"no",-0.0512236311657858,0.231389783970952,7,0.0479559066433122,"no","","","",143
"PHF13",11,0.399316378087897,"no",-0.306713498706664,0.400743983859449,7,0.0280560701374931,"no","","","",143
