"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role"
"IGSF9",7,2,0.396181437029677,"no",-0.115869302760486,0.352236524635795,-0.122839899966038,0.179888365338986,4,1,NA,NA,""
"SLAMF8",8,2,0.397138818789369,"no",0.0266692371518456,0.0388013419513243,0.0136530581492658,0.0543754392003947,4,1,NA,NA,""
"FOXO3B",7,2,0.398337566500753,"no",-0.167903612117126,0.226159627400909,0.101987665481982,0.0294403651438174,0,0,NA,NA,""
"CKS1B",5,4,0.408363239171142,"no",-0.0563350493247776,0.426531492425287,-0.346010388064065,0.754485058779114,2,2,0.457681536844241,"no",""
"SPRR1A",6,3,0.410994456158944,"no",-0.160579681248523,0.406316434507837,-0.146671839236475,0.16024956599883,2,2,0.778379329418835,"no",""
"ADAR",7,3,0.413862728564766,"no",-0.306663174611083,0.192543750017699,-0.111323378156352,0.407312460657159,3,2,0.571808339244552,"no",""
"SCCPDH",8,2,0.414163670073269,"no",NA,NA,NA,NA,3,2,0.512222707896701,"no",""
"CSRNP3",8,2,0.41523259197099,"no",-0.0400943411514997,0.187487137554689,0.0152389700265935,0.001606660314423,5,0,NA,NA,""
"SCN7A",8,2,0.415907168253185,"no",NA,NA,NA,NA,5,0,NA,NA,""
"NUDT17",7,3,0.416121383307885,"no",-0.0329006304453663,0.159003923535978,0.0937189811581087,0.270036861263838,3,2,0.534951672398361,"no",""
"FIGN",8,2,0.417075940118254,"no",0.0449960679605426,0.0980583930273036,0.0676657357604616,0.0238124104003262,5,0,NA,NA,""
"OR2T34",7,3,0.41721144492828,"no",NA,NA,NA,NA,3,2,0.506301033629387,"no",""
"KCNJ10",8,2,0.419283843333558,"no",-0.178765647146855,0.228215507547364,-0.401813764570138,0.226033030801009,4,1,NA,NA,""
"OR2T3",6,3,0.429775153568001,"no",NA,NA,NA,NA,2,2,0.731283008533606,"no",""
"FBXW10",7,2,0.438706612839461,"no",-0.0143266186551375,0.144421550966993,0.097889832238501,0.051124156119996,3,2,0.443589401955834,"no",""
"OR1C1",7,2,0.440808659667272,"no",-0.155407685452929,0.29558656158384,-0.0838587061134865,0.272600786566418,2,2,0.540256051215625,"no",""
"OR2T2",7,3,0.443216634427976,"no",-0.161977564391746,0.199877676909365,-0.205755107216521,0.0833252234936195,3,2,0.504200778716578,"no",""
"OR2T35",7,3,0.443216634427976,"no",-0.224314709451854,0.360545610486935,-0.106405902110125,0.30419316925363,3,2,0.34341312083133,"no",""
"S100A11",7,3,0.445259325347633,"no",-0.0948739064425957,0.0651933049808795,-0.203058863685366,0.150405813592345,3,2,0.4483793589261,"no",""
"OR2G3",8,2,0.445529963473797,"no",-0.00172889599382536,0.201842157083786,-0.0839970530337037,0.0937414895108343,3,2,0.325659239704289,"no",""
