"","#wt(ATARiS)","#mut(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","mut_median(DEMETER2)","mut_IQR(DEMETER2)","#wt(CRISPR)","#mut(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","MissenseDnDs","intogen_gene_role","tcga_missense_mutation_frequency","tcga_nrSamplesInMutData"
"ZHX2",297,17,0.626766095190197,"no",0.0187193549714149,0.180329147500078,-0.0223854840377485,0.143789484718629,222,7,0.565077224943157,"no",2.1,"",0.0161018985820716,8322
"ARHGEF37",337,13,0.627083952359861,"no",-0.0370427129955821,0.222059440337724,-0.0234513364014846,0.215214769888321,257,5,0.30294293089726,"no",3.2,"",0.00925258351357847,8322
"FFAR2",338,5,0.627302165302385,"no",-0.0130452755276006,0.166240658518358,0.07358275054854,0.273555827108713,262,0,NA,NA,3,"",0.00576784426820476,8322
"FKBP7",346,5,0.628057653265212,"no",-0.0242461780495252,0.16344731414424,-0.0454924659763972,0.0945287236487574,261,2,0.220454203651228,"no",7,"",0.00336457582311944,8322
"EN1",355,2,0.628111170849294,"no",-0.0440681670873385,0.199456875704516,0.00884231507364595,0.0908877507084874,265,1,NA,NA,0.375,"",0.0045662100456621,8322
"LRRTM4",328,21,0.628133292643561,"no",-0.0141001832033329,0.119671193341802,-0.00683610388515508,0.0878917947007853,246,15,0.667431535140303,"no",4,"",0.0245133381398702,8322
"ARL15",342,5,0.628140243708901,"no",-0.0202479024885946,0.151879255663715,0.0487259828176246,0.0386666691677514,261,3,0.636147604760939,"no",3.5,"",0.00300408555635664,8322
"NTN4",342,9,0.628460792264897,"no",-0.0203636025346345,0.159260074131173,-0.0293411176206375,0.131075551851465,259,6,0.626026084019164,"no",1.11111111111111,"",0.0109348714251382,8322
"CDH3",327,17,0.628927433904314,"no",0.0194254261282314,0.184856450311289,0.0128286922554047,0.114727160558455,250,11,0.467530477264842,"no",2.22222222222222,"",0.00961307378034126,8322
"TGFB3",341,8,0.628972371770291,"no",-0.00739812336421204,0.145182834409542,-0.0409735507990851,0.137537964659363,257,5,0.494339152775734,"no",2,"",0.00408555635664504,8322
"SMAD6",342,10,0.629044252756752,"no",-0.0396535391822207,0.221271105973369,-0.0977168396005046,0.144599786574721,257,6,0.4414618243244,"no",1.85714285714286,"",0.00336457582311944,8322
"RHOG",340,4,0.629268993351131,"no",0.0343103314475308,0.163524627592982,-0.0898554895513353,0.253956342237376,257,2,0.391251974646521,"no",1.66666666666667,"",0.00336457582311944,8322
"DDIT3",346,2,0.629471818495108,"no",-0.0182232171363171,0.154738962638514,-0.0506556451971458,0.0299866030099558,260,2,0.214746632757206,"no",1,"",0.00300408555635664,8322
