"","#wt(ATARiS)","pvalue(ATARiS)","is_significant(ATARiS)","wt_median(DEMETER2)","wt_IQR(DEMETER2)","#wt(CRISPR)","pvalue(CRISPR)","is_significant(CRISPR)","intogen_gene_role","tcga_overexpression_associated_with_genes_with_missense_mutations","tcga_overexpression_associated_with_genes_with_deleterious_mutations","tcga_nrSamplesInMutData"
"DOCK2",29,0.137744881719981,"no",0.0605880619963902,0.179955636341202,20,0.999999978795941,"no","","","",467
"CYP2C18",34,0.138289303290625,"no",0.0629589627967221,0.147699089130705,25,0.00390443889053031,"no","","","",467
"P4HA1",34,0.138476384067207,"no",0.124365785068422,0.124594371986548,26,0.999994654767485,"no","","","",467
"KCTD15",35,0.138604157798389,"no",-0.00406390023088301,0.201689817116069,25,0.719095864327113,"no","","","",467
"DGKH",36,0.138903751081886,"no",0.0362878828025602,0.174586771676325,26,0.990701983038361,"no","","","",467
"USP44",33,0.139092290044111,"no",0.113846426958368,0.226259591643886,26,0.526774125689637,"no","SBCC_LoF,UCEC_LoF","","",467
"GPNMB",29,0.139338628251061,"no",-0.0348049651114891,0.192298146192781,20,0.99999707848428,"no","","","",467
"TRPV1",33,0.139526672131116,"no",-0.118974487155671,0.177194196104678,23,0.0233039574742091,"no","","","",467
"TAOK2",34,0.139547067346341,"no",0.00452259288826725,0.223275787807787,25,0.150487417230083,"no","","","",467
"CXXC1",32,0.139871735328915,"no",-0.28752005680311,0.392595312267755,24,2.84058247722033e-12,"yes","","","",467
"ULK1",33,0.140303297393559,"no",0.0508463932735557,0.0986425916296046,25,0.266004624832149,"no","","","",467
"TET3",31,0.140449681790683,"no",-0.0414095482828208,0.165489362659984,24,0.493418258826944,"no","","","",467
"DAPK1",35,0.140621977715426,"no",-0.0257330468606301,0.0955452628901514,26,0.99566459402189,"no","","","",467
"ABCB11",29,0.140662714792111,"no",0.04955707233227,0.14266260511039,21,0.98743367244183,"no","","","",467
